Initial Solid Degradable Fraction,Placement Dry Density,Placement Moisture Content,Maximum Hydrolysis Rate,Thermal Conductivity,Specific Heat Capacity,Injection Pressure,Injection Duration,Time,Methane Generation,Max Temp
36.4,653.7,43.5,2500,0.5,1649.6,0,0,12.953,95.07852576,64.241234
36.4,653.7,43.5,2500,0.5,1649.6,0,0,13.092,95.34681202,63.939091
36.4,653.7,43.5,2500,0.5,1649.6,0,0,13.232,95.60178298,63.633937
36.4,653.7,43.5,2500,0.5,1649.6,0,0,13.371,95.84765426,63.334545
36.4,653.7,43.5,2500,0.5,1649.6,0,0,13.51,96.09619221,63.039454
36.4,653.7,43.5,2500,0.5,1649.6,0,0,13.65,96.35759418,62.741714
36.4,653.7,43.5,2500,0.5,1649.6,0,0,13.789,96.61677476,62.441439
36.4,653.7,43.5,2500,0.5,1649.6,0,0,13.928,96.85897076,62.135185
36.4,653.7,43.5,2500,0.5,1649.6,0,0,14.067,97.08098917,61.823768
36.4,653.7,43.5,2500,0.5,1649.6,0,0,14.207,97.29162549,61.508988
36.4,653.7,43.5,2500,0.5,1649.6,0,0,14.346,97.49360141,61.198102
36.4,653.7,43.5,2500,0.5,1649.6,0,0,14.485,97.69384325,60.888997
36.4,653.7,43.5,2500,0.5,1649.6,0,0,14.624,97.90026294,60.578832
36.4,653.7,43.5,2500,0.5,1649.6,0,0,14.764,98.10955742,60.260269
36.4,653.7,43.5,2500,0.5,1649.6,0,0,14.903,98.30470909,59.935202
36.4,653.7,43.5,2500,0.5,1649.6,0,0,15.042,98.4818065,59.602098
36.4,653.7,43.5,2500,0.5,1649.6,0,0,15.182,98.647821,59.261879
36.4,653.7,43.5,2500,0.5,1649.6,0,0,15.321,98.80473983,58.922804
36.4,653.7,43.5,2500,0.5,1649.6,0,0,15.46,98.95720788,58.582344
36.4,653.7,43.5,2500,0.5,1649.6,0,0,15.599,99.11161114,58.237907
36.4,653.7,43.5,2500,0.5,1649.6,0,0,15.739,99.26796062,57.882011
36.4,653.7,43.5,2500,0.5,1649.6,0,0,15.878,99.41288197,57.515781
36.4,653.7,43.5,2500,0.5,1649.6,0,0,16.017,99.5415682,57.135404
36.4,653.7,43.5,2500,0.5,1649.6,0,0,16.156,99.65820391,56.744126
36.4,653.7,43.5,2500,0.5,1649.6,0,0,16.296,99.76748804,56.342893
36.4,653.7,43.5,2500,0.5,1649.6,0,0,16.435,99.86993591,55.938629
36.4,653.7,43.5,2500,0.5,1649.6,0,0,16.574,99.97111099,55.526942
